[2024-03-27 17:51:44] build function
Training model: r6_btnk
Total parameters: 176,796
Learning rate=0.001
Epoch [1/25], phase: train, samples: 4000, Loss: 0.3519, Top-1 Accuracies: ['10.30%', '11.18%', '11.00%', '11.88%']
Epoch [1/25], phase: val, samples: 500, Loss: 0.3428, Top-1 Accuracies: ['12.40%', '16.40%', '19.60%', '18.40%']
Epoch [2/25], phase: train, samples: 4000, Loss: 0.2916, Top-1 Accuracies: ['19.85%', '22.70%', '24.82%', '34.27%']
Epoch [2/25], phase: val, samples: 500, Loss: 0.2749, Top-1 Accuracies: ['23.60%', '23.20%', '28.40%', '47.60%']
Epoch [3/25], phase: train, samples: 4000, Loss: 0.2376, Top-1 Accuracies: ['28.27%', '28.70%', '33.83%', '61.22%']
Epoch [3/25], phase: val, samples: 500, Loss: 0.2333, Top-1 Accuracies: ['35.00%', '31.60%', '33.80%', '64.00%']
Epoch [4/25], phase: train, samples: 4000, Loss: 0.1915, Top-1 Accuracies: ['43.23%', '35.45%', '39.80%', '82.23%']
Epoch [4/25], phase: val, samples: 500, Loss: 0.1880, Top-1 Accuracies: ['52.80%', '36.20%', '40.00%', '80.80%']
Epoch [5/25], phase: train, samples: 4000, Loss: 0.1516, Top-1 Accuracies: ['63.55%', '41.23%', '46.40%', '92.73%']
Epoch [5/25], phase: val, samples: 500, Loss: 0.1516, Top-1 Accuracies: ['69.20%', '40.00%', '43.60%', '90.20%']
Epoch [6/25], phase: train, samples: 4000, Loss: 0.1214, Top-1 Accuracies: ['78.10%', '46.30%', '53.67%', '96.65%']
Epoch [6/25], phase: val, samples: 500, Loss: 0.1259, Top-1 Accuracies: ['79.80%', '45.60%', '47.40%', '94.80%']
Epoch [7/25], phase: train, samples: 4000, Loss: 0.1006, Top-1 Accuracies: ['86.38%', '50.28%', '58.23%', '98.20%']
Epoch [7/25], phase: val, samples: 500, Loss: 0.1078, Top-1 Accuracies: ['87.40%', '49.40%', '48.60%', '96.80%']
Epoch [8/25], phase: train, samples: 4000, Loss: 0.0865, Top-1 Accuracies: ['91.15%', '53.08%', '60.88%', '98.98%']
Epoch [8/25], phase: val, samples: 500, Loss: 0.0936, Top-1 Accuracies: ['92.20%', '52.40%', '50.20%', '98.20%']
Epoch [9/25], phase: train, samples: 4000, Loss: 0.0765, Top-1 Accuracies: ['94.53%', '54.47%', '63.40%', '99.48%']
Epoch [9/25], phase: val, samples: 500, Loss: 0.0949, Top-1 Accuracies: ['94.20%', '53.80%', '48.80%', '98.20%']
Epoch [10/25], phase: train, samples: 4000, Loss: 0.0689, Top-1 Accuracies: ['96.53%', '57.15%', '65.90%', '99.70%']
Epoch [10/25], phase: val, samples: 500, Loss: 0.0922, Top-1 Accuracies: ['94.40%', '53.80%', '51.80%', '98.20%']
