[2024-04-18 11:28:59] test resnet18
model total parameters: 11,178,564
learning rate=0.005
Epoch [1/25], phase: train, samples: 992, Loss: 0.3806, Top-1 Accuracy: 36.19%, Top-3 Accuracy: 82.46%
Epoch [1/25], phase: val, samples: 248, Loss: 1.4281, Top-1 Accuracy: 28.23%, Top-3 Accuracy: 68.95%
Epoch [2/25], phase: train, samples: 992, Loss: 0.3116, Top-1 Accuracy: 45.46%, Top-3 Accuracy: 88.81%
Epoch [2/25], phase: val, samples: 248, Loss: 0.3230, Top-1 Accuracy: 46.77%, Top-3 Accuracy: 81.05%
Epoch [3/25], phase: train, samples: 992, Loss: 0.2747, Top-1 Accuracy: 51.21%, Top-3 Accuracy: 90.93%
Epoch [3/25], phase: val, samples: 248, Loss: 0.2954, Top-1 Accuracy: 49.60%, Top-3 Accuracy: 89.52%
Epoch [4/25], phase: train, samples: 992, Loss: 0.2520, Top-1 Accuracy: 56.55%, Top-3 Accuracy: 94.15%
Epoch [4/25], phase: val, samples: 248, Loss: 0.2390, Top-1 Accuracy: 58.87%, Top-3 Accuracy: 91.13%
Epoch [5/25], phase: train, samples: 992, Loss: 0.2285, Top-1 Accuracy: 63.21%, Top-3 Accuracy: 94.56%
Epoch [5/25], phase: val, samples: 248, Loss: 0.2616, Top-1 Accuracy: 62.10%, Top-3 Accuracy: 93.55%
Epoch [6/25], phase: train, samples: 992, Loss: 0.2084, Top-1 Accuracy: 66.63%, Top-3 Accuracy: 95.46%
Epoch [6/25], phase: val, samples: 248, Loss: 0.2618, Top-1 Accuracy: 60.08%, Top-3 Accuracy: 93.15%
Epoch [7/25], phase: train, samples: 992, Loss: 0.1930, Top-1 Accuracy: 69.66%, Top-3 Accuracy: 96.47%
Epoch [7/25], phase: val, samples: 248, Loss: 0.1986, Top-1 Accuracy: 68.55%, Top-3 Accuracy: 96.37%
Epoch [8/25], phase: train, samples: 992, Loss: 0.1783, Top-1 Accuracy: 71.07%, Top-3 Accuracy: 96.98%
Epoch [8/25], phase: val, samples: 248, Loss: 0.1789, Top-1 Accuracy: 70.56%, Top-3 Accuracy: 98.79%
Epoch [9/25], phase: train, samples: 992, Loss: 0.1706, Top-1 Accuracy: 72.08%, Top-3 Accuracy: 97.88%
Epoch [9/25], phase: val, samples: 248, Loss: 0.1655, Top-1 Accuracy: 71.37%, Top-3 Accuracy: 97.58%
Epoch [10/25], phase: train, samples: 992, Loss: 0.1583, Top-1 Accuracy: 73.69%, Top-3 Accuracy: 98.49%
Epoch [10/25], phase: val, samples: 248, Loss: 0.1827, Top-1 Accuracy: 72.58%, Top-3 Accuracy: 97.58%
